"Performance Index, Trend"
"All Districts, All Schools"
"Notes:"
"The Performance Index is the average performance of students in a subject area (i.e., ELA, Mathematics or Science) on the state summative assessments."
"The Performance Index ranges from 0-100 and is reported for all students and for students in each individual student group."
"Connecticut's ultimate target for a Performance Index is 75."

"",,,,,,"2015-16",,,"2016-17",,,"2017-18",,
"Monroe School District","=""0850011""","Fawn Hollow Elementary School","=""0850511""","Race/Ethnicity","American Indian or Alaska Native","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Monroe School District","=""0850011""","Fawn Hollow Elementary School","=""0850511""","Race/Ethnicity","Asian","*","*","*","*","*","*","*","*","N/A"
"Monroe School District","=""0850011""","Fawn Hollow Elementary School","=""0850511""","Race/Ethnicity","Black or African American","*","*","N/A","*","*","*","*","*","N/A"
"Monroe School District","=""0850011""","Fawn Hollow Elementary School","=""0850511""","Race/Ethnicity","Hispanic or Latino",74.8,75.3,"*",75.9,73.6,"*",84.4,78.4,"N/A"
"Monroe School District","=""0850011""","Fawn Hollow Elementary School","=""0850511""","Race/Ethnicity","Two or More Races","*","*","N/A","*","*","*","*","*","N/A"
"Monroe School District","=""0850011""","Fawn Hollow Elementary School","=""0850511""","Race/Ethnicity","White",83.5,78.4,71.3,84.8,78.4,75.5,85.0,79.7,"N/A"
"Monroe School District","=""0850011""","Fawn Hollow Elementary School","=""0850511""","Special Education Status (SWD)","Students with Disabilities",63.8,61.0,"*",63.0,57.0,"*",63.2,56.7,"N/A"
"Monroe School District","=""0850011""","Fawn Hollow Elementary School","=""0850511""","Special Education Status (SWD)","Students without Disabilities",86.1,81.4,73.9,86.6,80.6,77.8,87.9,82.8,"N/A"
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","All Students","School",79.1,68.3,64.5,79.2,71.7,66.1,78.3,70.8,"N/A"
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","English Language Learners (EL)","English Learners","*","*","*","*","*","*","*","*","N/A"
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","English Language Learners (EL)","Not English Learners",79.3,68.6,"*",79.5,72.1,"*",78.5,71.1,"N/A"
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","Gender","Female",81.7,68.5,64.8,81.2,70.4,65.2,82.1,70.6,"N/A"
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","Gender","Male",76.7,68.1,64.2,77.3,72.9,66.9,74.7,71.0,"N/A"
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","Grade","06",78.8,69.0,"N/A",83.9,75.7,"N/A",82.1,74.8,"N/A"
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","Grade","07",81.5,69.2,"N/A",77.3,69.1,"N/A",80.7,71.4,"N/A"
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","Grade","08",77.0,66.7,64.5,77.1,70.8,66.1,72.9,66.8,"N/A"
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","High Needs (F/R, EL or SWD)","High Needs",65.4,54.3,56.3,65.5,56.4,54.3,67.0,58.7,"N/A"
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","High Needs (F/R, EL or SWD)","Not High Needs",82.5,71.8,66.2,82.3,75.1,68.3,81.6,74.4,"N/A"
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",74.5,63.5,"*",73.8,63.9,60.6,73.8,64.8,"N/A"
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",79.5,68.7,64.5,79.7,72.4,66.6,78.9,71.6,"N/A"
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","Race/Ethnicity","American Indian or Alaska Native","*","*","N/A","*","*","*","*","*","N/A"
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","Race/Ethnicity","Asian",84.4,79.3,"*",91.0,82.0,"*",89.6,84.8,"N/A"
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","Race/Ethnicity","Black or African American","*","*","*","*","*","*","*","*","N/A"
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","Race/Ethnicity","Hispanic or Latino",74.3,63.3,55.2,72.8,68.1,"*",76.5,68.8,"N/A"
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","Race/Ethnicity","Two or More Races","*","*","*","*","*","*",75.6,68.8,"N/A"
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","Race/Ethnicity","White",79.3,68.4,65.4,79.3,71.6,66.2,77.9,70.2,"N/A"
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","Special Education Status (SWD)","Students with Disabilities",59.4,47.8,51.4,58.9,49.5,47.3,59.5,51.0,"N/A"
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","Special Education Status (SWD)","Students without Disabilities",82.1,71.4,66.1,81.7,74.4,68.0,80.9,73.5,"N/A"
"Monroe School District","=""0850011""","Masuk Alternative Program","=""0850211""","All Students","School","*","*","*","*","*","*","*","*","N/A"
"Monroe School District","=""0850011""","Masuk Alternative Program","=""0850211""","English Language Learners (EL)","Not English Learners","*","*","*","*","*","*","*","*","N/A"
"Monroe School District","=""0850011""","Masuk Alternative Program","=""0850211""","Gender","Female","N/A","N/A","*","*","*","*","N/A","N/A","N/A"
"Monroe School District","=""0850011""","Masuk Alternative Program","=""0850211""","Gender","Male","*","*","*","N/A","N/A","*","*","*","N/A"
"Monroe School District","=""0850011""","Masuk Alternative Program","=""0850211""","Grade","10","N/A","N/A","*","N/A","N/A","*","N/A","N/A","N/A"
"Monroe School District","=""0850011""","Masuk Alternative Program","=""0850211""","Grade","11","*","*","N/A","*","*","N/A","*","*","N/A"
"Monroe School District","=""0850011""","Masuk Alternative Program","=""0850211""","High Needs (F/R, EL or SWD)","High Needs","*","*","*","*","*","*","N/A","N/A","N/A"
"Monroe School District","=""0850011""","Masuk Alternative Program","=""0850211""","High Needs (F/R, EL or SWD)","Not High Needs","N/A","N/A","*","N/A","N/A","*","*","*","N/A"
"Monroe School District","=""0850011""","Masuk Alternative Program","=""0850211""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals","*","*","*","*","*","*","N/A","N/A","N/A"
"Monroe School District","=""0850011""","Masuk Alternative Program","=""0850211""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals","N/A","N/A","*","N/A","N/A","*","*","*","N/A"
"Monroe School District","=""0850011""","Masuk Alternative Program","=""0850211""","Race/Ethnicity","Hispanic or Latino","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A","N/A"
"Monroe School District","=""0850011""","Masuk Alternative Program","=""0850211""","Race/Ethnicity","Two or More Races","N/A","N/A","N/A","N/A","N/A","*","*","*","N/A"
"Monroe School District","=""0850011""","Masuk Alternative Program","=""0850211""","Race/Ethnicity","White","*","*","*","*","*","*","N/A","N/A","N/A"
"Monroe School District","=""0850011""","Masuk Alternative Program","=""0850211""","Special Education Status (SWD)","Students with Disabilities","N/A","N/A","*","N/A","N/A","*","N/A","N/A","N/A"
"Monroe School District","=""0850011""","Masuk Alternative Program","=""0850211""","Special Education Status (SWD)","Students without Disabilities","*","*","*","*","*","*","*","*","N/A"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","All Students","School",66.4,64.3,72.2,68.1,66.9,67.9,68.1,65.1,"N/A"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","English Language Learners (EL)","English Learners","*","*","N/A","*","*","N/A","N/A","N/A","N/A"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","English Language Learners (EL)","Not English Learners","*","*",72.2,"*","*",67.9,68.1,65.1,"N/A"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","Gender","Female",68.1,64.1,71.1,69.7,64.3,66.8,70.3,64.3,"N/A"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","Gender","Male",64.9,64.6,73.2,66.6,69.2,69.1,66.0,65.8,"N/A"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","Grade","10","N/A","N/A",72.2,"N/A","N/A",67.9,"N/A","N/A","N/A"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","Grade","11",66.4,64.3,"N/A",68.1,66.9,"N/A",68.1,65.1,"N/A"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","High Needs (F/R, EL or SWD)","High Needs",51.9,48.7,60.0,56.5,54.9,55.3,50.5,42.2,"N/A"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","High Needs (F/R, EL or SWD)","Not High Needs",70.0,68.2,74.7,69.9,68.7,70.2,71.0,68.7,"N/A"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",58.5,56.3,66.3,"*","*","*","*","*","N/A"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",67.4,65.4,72.6,68.6,67.3,67.9,68.4,65.5,"N/A"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","Race/Ethnicity","American Indian or Alaska Native","*","*","*","*","*","N/A","N/A","N/A","N/A"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","Race/Ethnicity","Asian","*","*","*","*","*","*","*","*","N/A"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","Race/Ethnicity","Black or African American","*","*","*","*","*","*","*","*","N/A"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","Race/Ethnicity","Hispanic or Latino","*","*","*","*","*","*","*","*","N/A"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","Race/Ethnicity","Two or More Races","*","*","*","*","*","*","*","*","N/A"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","Race/Ethnicity","White",66.9,64.7,72.5,67.5,66.3,68.8,68.6,64.8,"N/A"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","Special Education Status (SWD)","Students with Disabilities",42.8,38.3,55.0,"*","*",50.1,44.4,35.7,"N/A"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","Special Education Status (SWD)","Students without Disabilities",68.9,67.0,74.4,69.2,68.1,69.9,71.0,68.6,"N/A"
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""","All Students","School",85.0,79.4,72.7,85.6,79.9,73.3,85.7,79.7,"N/A"
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""","English Language Learners (EL)","English Learners","N/A","N/A","N/A","*","*","N/A","*","*","N/A"
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""","English Language Learners (EL)","Not English Learners",85.0,79.4,72.7,"*","*",73.3,86.0,80.0,"N/A"
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""","Gender","Female",86.3,79.0,74.2,88.6,79.4,71.8,87.3,78.2,"N/A"
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""","Gender","Male",83.3,80.0,70.5,82.5,80.4,75.1,84.1,81.2,"N/A"
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""","Grade","03",81.9,80.3,"N/A",83.7,81.9,"N/A",83.4,80.2,"N/A"
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""","Grade","04",88.7,78.3,"N/A",85.4,76.9,"N/A",90.3,82.4,"N/A"
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""","Grade","05",83.9,79.7,72.7,87.7,80.7,73.3,83.6,76.7,"N/A"
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""","High Needs (F/R, EL or SWD)","High Needs",67.3,64.2,"*",71.2,62.3,"*",78.2,70.3,"N/A"
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""","High Needs (F/R, EL or SWD)","Not High Needs",89.6,83.4,77.6,88.7,83.6,75.4,88.2,82.9,"N/A"
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals","*","*","*","*","*","*",87.5,79.2,"N/A"
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",86.1,80.3,74.8,85.7,80.7,73.8,85.4,79.8,"N/A"
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""","Race/Ethnicity","American Indian or Alaska Native","*","*","N/A","*","*","N/A","N/A","N/A","N/A"
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""","Race/Ethnicity","Asian","*","*","*","*","*","*","*","*","N/A"
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""","Race/Ethnicity","Black or African American","*","*","*","*","*","N/A","*","*","N/A"
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""","Race/Ethnicity","Hispanic or Latino","*","*","*","*","*","*","*","*","N/A"
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""","Race/Ethnicity","Two or More Races","*","*","*","N/A","N/A","N/A","*","*","N/A"
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""","Race/Ethnicity","White",84.6,79.0,72.1,85.2,80.5,73.6,85.2,79.8,"N/A"
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""","Special Education Status (SWD)","Students with Disabilities",58.7,56.2,"*","*","*","*","*","*","N/A"
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""","Special Education Status (SWD)","Students without Disabilities",89.0,83.0,77.2,88.5,82.7,75.2,88.2,82.4,"N/A"
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""","All Students","School",80.1,75.1,72.8,81.1,76.7,69.5,83.4,79.5,"N/A"
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""","English Language Learners (EL)","English Learners","*","*","*","*","*","*","*","*","N/A"
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""","English Language Learners (EL)","Not English Learners","*","*","*","*","*","*","*","*","N/A"
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""","Gender","Female",83.7,75.7,71.8,85.6,77.9,71.2,87.6,80.3,"N/A"
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""","Gender","Male",76.2,74.5,74.2,76.6,75.5,67.9,79.0,78.8,"N/A"
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""","Grade","03",73.7,72.7,"N/A",79.7,74.1,"N/A",83.3,77.9,"N/A"
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""","Grade","04",80.8,73.9,"N/A",84.1,80.3,"N/A",84.3,79.5,"N/A"
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""","Grade","05",85.7,78.6,72.8,79.2,75.4,69.5,82.7,81.1,"N/A"
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""","High Needs (F/R, EL or SWD)","High Needs",67.0,61.5,"*",67.8,63.9,61.5,70.2,65.6,"N/A"
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""","High Needs (F/R, EL or SWD)","Not High Needs",84.4,79.6,75.4,85.6,81.0,72.4,88.0,84.4,"N/A"
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals","*","*","*",75.8,67.2,"*",78.4,71.5,"N/A"
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",80.7,75.8,73.5,81.7,77.7,"*",84.1,80.6,"N/A"
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""","Race/Ethnicity","American Indian or Alaska Native","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""","Race/Ethnicity","Asian","*","*","*","*","*","*","*","*","N/A"
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""","Race/Ethnicity","Black or African American","*","*","*","*","*","*","*","*","N/A"
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""","Race/Ethnicity","Hispanic or Latino","*","*","*","*","*","*","*","*","N/A"
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""","Race/Ethnicity","Native Hawaiian or Other Pacific Islander","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""","Race/Ethnicity","Two or More Races","*","*","N/A","*","*","*","*","*","N/A"
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""","Race/Ethnicity","White",80.7,75.9,74.1,80.8,76.7,69.8,83.8,79.6,"N/A"
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""","Special Education Status (SWD)","Students with Disabilities",62.6,57.7,"*",61.0,59.3,"*",59.7,55.3,"N/A"
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""","Special Education Status (SWD)","Students without Disabilities",83.9,78.9,74.5,85.0,80.1,72.3,87.4,83.6,"N/A"
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","All Students","School",71.8,65.8,57.9,73.2,67.7,58.9,71.0,69.1,"N/A"
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","English Language Learners (EL)","English Learners","*","*","*","*","*","*","*","*","N/A"
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","English Language Learners (EL)","Not English Learners","*","*","*",72.8,67.5,"*","*","*","N/A"
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","Gender","Female",75.1,66.0,57.8,75.7,65.8,56.7,75.8,70.1,"N/A"
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","Gender","Male",68.6,65.6,58.1,71.2,69.2,61.5,67.1,68.2,"N/A"
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","Grade","03",70.6,65.7,"N/A",74.1,67.2,"N/A",69.9,72.7,"N/A"
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","Grade","04",76.5,67.9,"N/A",72.3,67.4,"N/A",73.4,65.8,"N/A"
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","Grade","05",69.2,64.2,57.9,73.1,68.6,58.9,69.4,69.9,"N/A"
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","High Needs (F/R, EL or SWD)","High Needs",64.3,57.6,53.5,66.8,62.6,55.6,65.5,64.3,"N/A"
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","High Needs (F/R, EL or SWD)","Not High Needs",80.8,75.6,63.3,80.4,73.5,63.6,77.4,74.6,"N/A"
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",67.8,60.7,54.8,69.3,66.0,57.2,67.6,66.6,"N/A"
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",75.0,69.8,60.3,76.2,69.0,60.5,73.9,71.2,"N/A"
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","Race/Ethnicity","American Indian or Alaska Native","*","*","*","*","*","*","N/A","N/A","N/A"
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","Race/Ethnicity","Asian","*","*","*","*","*","*","*","*","N/A"
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","Race/Ethnicity","Black or African American","*","*","N/A","N/A","N/A","N/A","*","*","N/A"
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","Race/Ethnicity","Hispanic or Latino","*","*","*","*","*","*","*","*","N/A"
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","Race/Ethnicity","Native Hawaiian or Other Pacific Islander","*","*","N/A","*","*","N/A","*","*","N/A"
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","Race/Ethnicity","Two or More Races",75.6,69.9,"*",73.0,66.4,"*",69.5,66.8,"N/A"
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","Race/Ethnicity","White",70.6,65.1,56.5,73.0,67.9,58.2,72.3,71.0,"N/A"
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","Special Education Status (SWD)","Students with Disabilities",54.8,48.0,"*",57.8,51.1,"*",52.0,48.5,"N/A"
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","Special Education Status (SWD)","Students without Disabilities",76.9,71.1,60.1,76.7,71.6,61.9,75.3,73.7,"N/A"
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""","All Students","School",68.6,60.1,60.3,68.2,61.0,61.5,68.9,62.8,"N/A"
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""","English Language Learners (EL)","English Learners","*","*","*",67.8,61.4,"*",64.9,61.2,"N/A"
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""","English Language Learners (EL)","Not English Learners",68.7,60.3,"*",68.2,61.0,61.8,69.1,62.9,"N/A"
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""","Gender","Female",71.3,60.3,60.8,71.1,61.6,60.8,71.6,64.1,"N/A"
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""","Gender","Male",66.1,60.0,60.0,65.1,60.3,62.3,65.9,61.4,"N/A"
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""","Grade","06",71.2,61.7,"N/A",71.8,64.0,"N/A",75.1,71.7,"N/A"
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""","Grade","07",70.0,59.9,"N/A",68.1,60.5,"N/A",66.3,58.2,"N/A"
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""","Grade","08",64.8,58.8,60.3,64.5,58.4,61.5,66.0,59.7,"N/A"
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""","High Needs (F/R, EL or SWD)","High Needs",61.5,53.5,56.2,61.9,54.8,57.0,60.9,55.0,"N/A"
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""","High Needs (F/R, EL or SWD)","Not High Needs",75.4,66.5,64.3,74.1,66.7,65.6,75.8,69.6,"N/A"
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",64.3,56.6,59.9,63.8,57.1,59.6,62.1,56.8,"N/A"
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",71.5,62.5,60.6,71.0,63.5,62.5,73.1,66.6,"N/A"
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""","Race/Ethnicity","American Indian or Alaska Native","*","*","*","*","*","*","*","*","N/A"
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""","Race/Ethnicity","Asian",77.1,71.5,"*",76.1,74.6,"*",78.7,74.5,"N/A"
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""","Race/Ethnicity","Black or African American","*","*","*","*","*","*","*","*","N/A"
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""","Race/Ethnicity","Hispanic or Latino",65.8,55.2,"*",61.6,55.9,"*",62.8,58.3,"N/A"
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""","Race/Ethnicity","Two or More Races",66.6,58.0,"*",67.3,56.4,"*",66.0,58.6,"N/A"
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""","Race/Ethnicity","White",68.4,59.7,59.3,68.2,60.9,61.5,69.6,63.2,"N/A"
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""","Special Education Status (SWD)","Students with Disabilities",45.8,39.6,44.3,48.9,41.2,44.0,49.5,41.9,"N/A"
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""","Special Education Status (SWD)","Students without Disabilities",72.6,63.8,64.0,71.0,63.9,64.1,71.9,66.1,"N/A"
"Montville School District","=""0860011""","Mohegan School","=""0860111""","All Students","School",69.4,65.3,57.8,69.3,69.6,55.0,73.4,73.7,"N/A"
"Montville School District","=""0860011""","Mohegan School","=""0860111""","English Language Learners (EL)","English Learners",68.8,68.0,"*",72.5,75.6,"*",69.2,74.0,"N/A"
"Montville School District","=""0860011""","Mohegan School","=""0860111""","English Language Learners (EL)","Not English Learners",69.5,64.8,"*",68.5,68.1,55.4,74.5,73.6,"N/A"
"Montville School District","=""0860011""","Mohegan School","=""0860111""","Gender","Female",71.8,65.5,57.0,70.4,70.8,56.2,74.1,72.6,"N/A"
"Montville School District","=""0860011""","Mohegan School","=""0860111""","Gender","Male",67.0,65.1,58.8,68.3,68.4,"*",72.7,74.6,"N/A"
"Montville School District","=""0860011""","Mohegan School","=""0860111""","Grade","03",71.8,65.4,"N/A",67.4,70.0,"N/A",71.5,71.2,"N/A"
"Montville School District","=""0860011""","Mohegan School","=""0860111""","Grade","04",67.8,64.1,"N/A",74.8,72.7,"N/A",74.7,75.6,"N/A"
"Montville School District","=""0860011""","Mohegan School","=""0860111""","Grade","05",68.6,65.9,57.8,64.4,64.4,55.0,73.9,74.2,"N/A"
"Montville School District","=""0860011""","Mohegan School","=""0860111""","High Needs (F/R, EL or SWD)","High Needs",65.3,61.7,53.3,65.3,65.8,52.9,70.1,70.9,"N/A"
"Montville School District","=""0860011""","Mohegan School","=""0860111""","High Needs (F/R, EL or SWD)","Not High Needs",74.6,69.8,64.0,74.7,74.6,"*",79.6,79.0,"N/A"
"Montville School District","=""0860011""","Mohegan School","=""0860111""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",65.9,62.1,54.8,64.6,65.2,"*",70.8,70.7,"N/A"
"Montville School District","=""0860011""","Mohegan School","=""0860111""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",72.3,67.9,60.6,72.8,72.8,59.5,76.1,76.9,"N/A"
"Montville School District","=""0860011""","Mohegan School","=""0860111""","Race/Ethnicity","American Indian or Alaska Native","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Montville School District","=""0860011""","Mohegan School","=""0860111""","Race/Ethnicity","Asian",72.8,75.1,"*",75.7,79.8,"*",79.3,83.9,"N/A"
"Montville School District","=""0860011""","Mohegan School","=""0860111""","Race/Ethnicity","Black or African American","*","*","*","*","*","*","*","*","N/A"
"Montville School District","=""0860011""","Mohegan School","=""0860111""","Race/Ethnicity","Hispanic or Latino","*","*","*","*","*","*",66.9,63.3,"N/A"
"Montville School District","=""0860011""","Mohegan School","=""0860111""","Race/Ethnicity","Native Hawaiian or Other Pacific Islander","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Montville School District","=""0860011""","Mohegan School","=""0860111""","Race/Ethnicity","Two or More Races",62.9,58.3,"*",68.9,66.6,"*",73.7,71.8,"N/A"
"Montville School District","=""0860011""","Mohegan School","=""0860111""","Race/Ethnicity","White",70.8,65.6,60.5,69.8,69.6,56.1,73.6,73.6,"N/A"
"Montville School District","=""0860011""","Mohegan School","=""0860111""","Special Education Status (SWD)","Students with Disabilities",57.9,51.2,"*",57.7,54.6,"*",60.3,58.4,"N/A"
"Montville School District","=""0860011""","Mohegan School","=""0860111""","Special Education Status (SWD)","Students without Disabilities",71.5,67.8,59.3,71.8,72.8,55.7,75.9,76.6,"N/A"
"Montville School District","=""0860011""","Montville High School","=""0866111""","All Students","School",58.0,54.8,64.1,62.6,57.9,58.6,58.8,55.8,"N/A"
